	Label	Score
1362	1.0	0.966
1363	0.0	0.967
1364	1.0	0.242
1365	0.0	0.286
1366	1.0	0.635
1367	1.0	0.82
1368	1.0	0.97
1369	0.0	0.699
1370	1.0	0.946
1371	1.0	0.973
1372	1.0	0.983
1373	0.0	0.029
1374	1.0	0.885
1375	1.0	0.469
1376	1.0	0.872
1377	0.0	0.211
1378	1.0	0.954
1379	0.0	0.294
1380	1.0	0.975
1381	0.0	0.021
1382	1.0	0.993
1383	0.0	0.055
1384	1.0	0.96
1385	0.0	0.351
1386	1.0	0.995
1387	1.0	0.624
1388	1.0	0.743
1389	0.0	0.498
1390	0.0	0.074
1391	1.0	0.948
1392	1.0	0.64
1393	0.0	0.449
1394	1.0	0.476
1395	1.0	0.967
1396	1.0	0.882
1397	1.0	0.672
1398	1.0	0.799
1399	0.0	0.413
1400	0.0	0.084
1401	1.0	0.64
1402	1.0	0.692
1403	0.0	0.471
1404	1.0	0.847
1405	1.0	0.989
1406	1.0	0.96
1407	0.0	0.752
1408	1.0	0.837
1409	0.0	0.246
1410	0.0	0.201
1411	1.0	0.564
1412	1.0	0.946
1413	0.0	0.302
1414	0.0	0.319
1415	1.0	0.909
1416	0.0	0.038
1417	1.0	0.959
1418	1.0	0.324
1419	1.0	0.924
1420	1.0	0.989
1421	1.0	0.513
1422	1.0	0.706
1423	1.0	0.585
1424	1.0	0.207
1425	1.0	0.286
1426	1.0	0.984
1427	1.0	0.671
1428	0.0	0.157
1429	0.0	0.045
1430	1.0	0.349
1431	1.0	0.982
